experiment,value
exp_adamw_roberta_large_lr5e-06_drop0.3_epochs5_frozen_roberta,0.7890768349170685
exp_adamw_roberta_base_lr1e-05_drop0.5_epochs5_frozen_roberta,0.7889930307865143
exp_adamw_roberta_large_lr5e-06_drop0.3_bigger_mlp_epochs5_frozen_roberta,0.7888311445713043
exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs5_both_frozen,0.7887169122695923
exp_adamw_roberta_base_lr5e-06_drop0.5_bigger_mlp_epochs5,0.7886085510253906
exp_adamw_roberta_base_lr1e-05_drop0.5_epochs5_frozen_clip,0.7885102033615112
exp_adamw_roberta_large_lr5e-05_drop0.5_hierarchical_epochs5,0.7883504927158356
exp_adamw_roberta_large_lr5e-06_drop0.3_epochs5_frozen_clip,0.7880796492099762
exp_adamw_roberta_base_lr5e-06_drop0.3_gelu_epochs5_frozen_clip,0.7880586385726929
exp_adamw_only_clip_lr5e-06_drop0.3_epochs5_frozen,0.7873355448246002
exp_adamw_roberta_base_lr5e-06_drop0.3_gelu_epochs5,0.7861964702606201
exp_roberta_base_lr1e-05_drop0.5_epochs5_frozen_clip,0.7860971093177795
exp_roberta_base_lr5e-06_drop0.5_epochs5_frozen_roberta,0.7857190668582916
exp_adamw_roberta_base_lr5e-06_drop0.3_bigger_mlp_epochs5,0.7853459417819977
exp_adamw_roberta_base_lr5e-06_drop0.3_bigger_mlp_epochs5_frozen_roberta,0.7853127717971802
exp_roberta_base_lr5e-06_drop0.3_epochs5,0.7852681279182434
exp_adamw_only_clip_lr5e-06_drop0.5_epochs5_frozen,0.7851440906524658
exp_roberta_base_lr1e-05_drop0.5_epochs5,0.7849779427051544
exp_only_roberta_large_lr5e-06_drop0.3_epochs5,0.7849138081073761
exp_adamw_roberta_large_lr1e-05_drop0.3_bigger_mlp_epochs5,0.7845993638038635
exp_only_clip_lr1e-05_drop0.5_epochs5,0.7844268083572388
exp_roberta_large_lr5e-06_drop0.5_epochs5,0.7836601734161377
